DataHora,Tempo_Segundos,CPU_Percentual,Memoria_Percentual
2026-04-29 14:44:14,0,100.0,9.6
2026-04-29 14:44:16,2,0.5,9.6
2026-04-29 14:44:18,4,0.0,9.6
2026-04-29 14:44:20,6,0.0,9.6
2026-04-29 14:44:22,8,0.0,9.6
2026-04-29 14:44:24,10,0.2,9.6
2026-04-29 14:44:26,12,0.0,9.6
2026-04-29 14:44:28,14,0.0,9.6
2026-04-29 14:44:30,16,0.0,9.7
2026-04-29 14:44:32,18,0.0,9.7
2026-04-29 14:44:34,20,0.0,9.7
2026-04-29 14:44:36,22,0.0,9.7
2026-04-29 14:44:38,24,0.2,9.7
2026-04-29 14:44:40,26,0.0,9.7
2026-04-29 14:44:42,28,0.0,9.7
2026-04-29 14:44:44,30,0.0,9.7
2026-04-29 14:44:46,32,0.0,9.7
2026-04-29 14:44:48,34,0.0,9.7
2026-04-29 14:44:50,36,0.0,9.7
2026-04-29 14:44:52,38,0.0,9.7
2026-04-29 14:44:54,40,0.0,9.7
2026-04-29 14:44:56,42,0.0,9.7
2026-04-29 14:44:58,44,0.0,9.7
2026-04-29 14:45:00,46,0.7,9.7
2026-04-29 14:45:02,48,0.8,9.7
2026-04-29 14:45:04,50,0.0,9.7
2026-04-29 14:45:06,52,0.2,9.7
2026-04-29 14:45:08,54,0.0,9.7
2026-04-29 14:45:10,56,0.0,9.7
2026-04-29 14:45:12,58,0.0,9.7
2026-04-29 14:45:14,60,0.0,9.7
2026-04-29 14:45:16,62,0.2,9.7
2026-04-29 14:45:18,64,0.0,9.7
2026-04-29 14:45:20,66,0.0,9.7
2026-04-29 14:45:22,68,0.0,9.7
2026-04-29 14:45:24,70,0.2,9.7
2026-04-29 14:45:26,72,0.0,9.7
2026-04-29 14:45:28,74,0.0,9.7
2026-04-29 14:45:30,76,0.0,9.7
2026-04-29 14:45:32,78,0.0,9.7
2026-04-29 14:45:34,80,0.2,9.7
2026-04-29 14:45:36,82,0.0,9.7
2026-04-29 14:45:38,84,0.0,9.7
2026-04-29 14:45:40,86,0.0,9.7
2026-04-29 14:45:42,88,0.3,9.7
2026-04-29 14:45:44,90,0.0,9.7
2026-04-29 14:45:46,92,0.0,9.7
2026-04-29 14:45:48,94,0.0,9.7
2026-04-29 14:45:50,96,0.0,9.7
2026-04-29 14:45:52,98,0.0,9.7
2026-04-29 14:45:54,100,0.0,9.7
2026-04-29 14:45:56,102,0.0,9.7
2026-04-29 14:45:58,104,0.2,9.7
2026-04-29 14:46:00,106,0.5,9.7
2026-04-29 14:46:02,108,0.0,9.7
2026-04-29 14:46:04,110,0.0,9.7
2026-04-29 14:46:06,112,0.0,9.7
2026-04-29 14:46:08,114,0.0,9.7
2026-04-29 14:46:10,116,0.0,9.7
2026-04-29 14:46:12,118,0.0,9.7
2026-04-29 14:46:14,120,0.0,9.7
2026-04-29 14:46:16,122,0.0,9.7
2026-04-29 14:46:18,124,0.0,9.7
2026-04-29 14:46:20,126,0.0,9.7
2026-04-29 14:46:22,128,0.0,9.7
2026-04-29 14:46:24,130,0.0,9.7
2026-04-29 14:46:26,132,0.3,9.7
2026-04-29 14:46:28,134,0.2,9.7
2026-04-29 14:46:30,136,0.0,9.7
2026-04-29 14:46:32,138,0.2,9.7
2026-04-29 14:46:34,140,0.2,9.7
2026-04-29 14:46:36,142,0.0,9.7
2026-04-29 14:46:38,144,0.0,9.7
2026-04-29 14:46:40,146,0.0,9.7
2026-04-29 14:46:42,148,0.0,9.7
2026-04-29 14:46:44,150,0.0,9.7
2026-04-29 14:46:46,152,0.2,9.7
2026-04-29 14:46:48,154,0.0,9.7
2026-04-29 14:46:50,156,0.0,9.7
2026-04-29 14:46:52,158,0.2,9.7
2026-04-29 14:46:54,160,0.0,9.7
2026-04-29 14:46:56,162,0.2,9.7
2026-04-29 14:46:58,164,0.0,9.7
2026-04-29 14:47:00,166,0.5,9.7
2026-04-29 14:47:02,168,0.0,9.7
2026-04-29 14:47:04,170,0.0,9.7
2026-04-29 14:47:06,172,0.2,9.7
2026-04-29 14:47:08,174,0.0,9.7
2026-04-29 14:47:10,176,0.0,9.7
2026-04-29 14:47:12,178,0.0,9.7
2026-04-29 14:47:14,180,0.2,9.7
2026-04-29 14:47:16,182,0.2,9.7
2026-04-29 14:47:18,184,0.2,9.7
2026-04-29 14:47:20,186,0.0,9.7
2026-04-29 14:47:22,188,0.2,9.7
2026-04-29 14:47:24,190,0.0,9.7
2026-04-29 14:47:26,192,0.0,9.7
2026-04-29 14:47:28,194,0.0,9.7
2026-04-29 14:47:30,196,0.0,9.7
2026-04-29 14:47:32,198,0.0,9.7
2026-04-29 14:47:34,200,0.2,9.7
2026-04-29 14:47:36,202,0.3,9.7
2026-04-29 14:47:38,204,0.7,9.7
2026-04-29 14:47:40,206,7.0,9.8
2026-04-29 14:47:42,208,51.3,10.2
2026-04-29 14:47:44,210,50.4,10.4
2026-04-29 14:47:46,212,50.6,10.8
2026-04-29 14:47:48,214,51.0,11.2
2026-04-29 14:47:50,216,50.4,11.5
2026-04-29 14:47:52,218,50.4,11.9
2026-04-29 14:47:54,220,50.9,12.3
2026-04-29 14:47:56,222,50.8,12.4
2026-04-29 14:47:58,224,50.4,12.8
2026-04-29 14:48:00,226,50.6,13.1
2026-04-29 14:48:02,228,50.5,13.5
2026-04-29 14:48:04,230,50.6,13.8
2026-04-29 14:48:06,232,50.6,14.2
2026-04-29 14:48:08,234,50.6,14.4
2026-04-29 14:48:10,236,50.4,14.7
2026-04-29 14:48:12,238,50.4,15.1
2026-04-29 14:48:14,240,50.5,15.4
2026-04-29 14:48:16,242,50.7,15.8
2026-04-29 14:48:18,244,50.8,16.1
2026-04-29 14:48:20,246,50.7,16.3
2026-04-29 14:48:22,248,50.6,16.8
2026-04-29 14:48:24,250,50.9,17.0
2026-04-29 14:48:26,252,50.6,17.4
2026-04-29 14:48:28,254,50.8,17.7
2026-04-29 14:48:30,256,50.9,18.0
2026-04-29 14:48:32,258,50.9,18.4
2026-04-29 14:48:34,260,51.1,18.7
2026-04-29 14:48:36,262,50.6,19.0
2026-04-29 14:48:38,264,50.9,19.2
2026-04-29 14:48:40,266,50.8,19.7
2026-04-29 14:48:42,268,50.9,19.9
2026-04-29 14:48:44,270,50.7,20.3
2026-04-29 14:48:46,272,51.1,20.6
2026-04-29 14:48:48,274,50.8,20.9
2026-04-29 14:48:50,276,50.7,21.3
2026-04-29 14:48:52,278,50.7,21.6
2026-04-29 14:48:54,280,50.6,22.0
2026-04-29 14:48:56,282,51.3,22.2
2026-04-29 14:48:58,284,50.7,22.5
2026-04-29 14:49:00,286,51.2,22.8
2026-04-29 14:49:02,288,50.6,23.2
2026-04-29 14:49:04,290,50.6,23.5
2026-04-29 14:49:06,292,50.7,23.9
2026-04-29 14:49:08,294,51.3,24.1
2026-04-29 14:49:10,296,50.9,24.5
2026-04-29 14:49:12,298,51.1,24.8
2026-04-29 14:49:14,300,50.9,25.2
2026-04-29 14:49:16,302,51.0,25.6
2026-04-29 14:49:18,304,50.8,25.8
2026-04-29 14:49:20,306,51.1,26.2
2026-04-29 14:49:22,308,50.5,26.4
2026-04-29 14:49:24,310,50.5,26.9
2026-04-29 14:49:26,312,12.5,10.4
2026-04-29 14:49:28,314,0.3,10.2
